"","X","paranum","paratext","doc","ents"
"1",1,"1","1.      At the first Session of the Committee on Trade and Development on 5 April 1995, the Chairman proposed that the draft agenda (WTO/AIR/43) be adopted. He said that discussion on the rules of procedure would take place under item B and the programme of work and institutional arrangements under item C. He proposed that, in response to requests from delegates, the Committee discuss future technical cooperation activities of the World Trade Organization (WTO), under agenda item D, Other business. The representative of India said his delegation would like to discuss the terms of reference of the Committee on Trade and Development under Other business. The Committee then adopted the agenda. Item B          Rules of Procedure of the Committee on Trade and Development","WTCOMTDM1.pdf","Committee, on, Trade, and, Development, Chairman, Committee, World, Trade, Organization, WTO, India, Committee, on, Trade, and, Development, Committee, Committee, on, Trade, and, Development"
"2",2,"10","10.    The representative of the United States supported the draft Programme of Work; it was ambitious and very well organized. He thought it was necessary to ensure that work carried out under Items C and D was not duplicated in other international organizations. He called for the circulation of documents to Members well in advance of the meeting of the Committee on Trade and Development. The Chairman recalled that it had been agreed that documents would be circulated four weeks in advance of Committee on Trade and Development meetings. WT/COMTD/M/1 Page 4","WTCOMTDM1.pdf","United, States, Members, Committee, on, Trade, and, Development, Chairman, Committee"
"3",3,"11","11.     The representative of Argentina queried whether the draft Programme of Work properly reflected the input the WTO should make in the work programme of the ITC and other international organizations dealing with trade issues. He said that, as described in the Informal Note circulated by the Secretariat, it was his understanding that the future orientation of the technical cooperation activities included the follow-up of the programme of work of bodies such as the ITC. The representative of Venezuela supported the query by representative of Argentina. The Chairman said that, in his personal opinion, the mandate given to the Committee on Trade and Development was broad enough to permit it to engage in any discussions or negotiations on the subject; the matter could be discussed further, later on in the proceedings.","WTCOMTDM1.pdf","Argentina, WTO, ITC, Secretariat, ITC, Venezuela, Argentina, Chairman, Committee, on, Trade, and, Development"
"4",4,"12","12.     The representative of Japan thought the provision of technical assistance to developing countries was important in facilitating their integration into the multilateral trading system. GATT/WTO was providing technical assistance to developing countries to assist them to comply with their obligations under the Marrakesh Agreement. He called for closer collaboration with the ITC and UNCTAD to ensure that the limited resources earmarked for technical cooperation and assistance were put to good use.","WTCOMTDM1.pdf","Japan, GATT/WTO, ITC, UNCTAD"
"5",5,"13","13.      The Chairman proposed a distribution of the individual items in the Programme of Work for each meeting of the Committee on Trade and Development in 1995. The present meeting would tackle: (i) organizational matters, (ii) institutional arrangements, and (iii) technical cooperation (i.e. item C of the Programme of Work). The second meeting would (i) review the impact of the results of the Uruguay Round on developing country Members, in particular the least-developed country Members, (ii) consider measures and initiatives to assist in the expansion of trade and investment opportunities for developing countries, especially the least-developed ones, (iii) address the question of credit and recognition for autonomous trade liberalization measures, and (iv) consider technical cooperation activities of the WTO. The third meeting of the Committee on Trade and Development would consider (i) the participation of developing country Members in the multilateral trading system, (ii) WTO's technical cooperation activities as they relate to developing country Members (in consultation with other relevant WTO bodies), and (iii) the application of special provisions in the Multilateral Trade Agreements and related Ministerial Decisions in favour of developing country Members, especially the least-developed ones.","WTCOMTDM1.pdf","Chairman, Committee, on, Trade, and, Development, Uruguay, Members, Members, WTO, Committee, on, Trade, and, Development, Members, WTO, Members, WTO, Members"
"6",6,"14","14.    In the absence of comments, the Programme of Work was adopted. The Chairman urged Members having any views on the Programme of Work to make written submissions by June. He drew Members' attention to the Secretariat document on notification (WT/COM.TD/W/1) and said they may wish to comment under item D of the agenda - technical cooperation .         (iii)    Sub-Committee on Least-Developed Countries","WTCOMTDM1.pdf","Chairman, Members, Members, Secretariat"
"7",7,"15","15.      The Chairman recommended the establishment of a Sub-Committee on Least-Developed Countries. If a Sub-Committee was established, responsibility for all items on the agenda of the Committee on Trade and Development concerning least-developed countries would be referred to it. He suggested that Miss Anne Stoddart of the United Kingdom be appointed Chairperson of the Sub- Committee. He invited delegations who may have views on the nomination to convey them to him. The representative of Argentina, on behalf of the Informal Group of Developing Countries, expressed support for Miss Anne Stoddart. The representative of Bangladesh preferred that a decision on the Chairmanship of the Sub-Committee be taken at the present meeting. In response to the suggestion by the representative of Bangladesh the Chairman thought it appropriate to give delegations time to reflect on his proposal with respect to Miss Stoddart's nomination.                                                                            WT/COMTD/M/1                                                                            Page 5","WTCOMTDM1.pdf","Chairman, Committee, on, Trade, and, Development, Anne, Stoddart, United, Kingdom, Chairperson, Sub, -, Committee, Argentina, Informal, Group, of, Developing, Countries, Anne, Stoddart, Bangladesh, Bangladesh, Chairman, Stoddart"
"8",8,"16","16.     Drawing attention to the informal note prepared by the Chairman on the draft Terms of Reference of the Sub-Committee, the representative of Hong Kong suggested the following amendments; in indent (a) there could be an enumeration of the specific needs of LDC's; in the first line of indent (b) the appropriate word was ""operation""; in indent (b) a reference to Ministerial Declarations and Decisions could be added, as to refer only to Multilateral Trade Agreements was too restrictive. Thanking the representative of Hong Kong for his valuable suggestions, the Chairman said that the observations would be taken up during informal consultations on the terms of reference. Item D          Other Business","WTCOMTDM1.pdf","Chairman, Hong, Kong, LDC, Hong, Kong, Chairman"
"9",9,"17","17.     The Chairman said that providing guidelines to WTO technical assistance for developing countries was one of the important items of the terms of reference of the Committee on Trade and Development. Expressing his appreciation for the informal note distributed by the Secretariat, he said that, after preliminary discussions at this meeting, discussions would resume at the June meeting.","WTCOMTDM1.pdf","Chairman, WTO, Committee, on, Trade, and, Development, Secretariat"
"10",10,"18","18.     The representative of Argentina, speaking on behalf of the Informal Group of Developing Countries, said that developing countries, the main beneficiaries of technical assistance, had reached a consensus on the question of technical assistance in the WTO. They were presenting the following points as a contribution to the debate. (1) Developing countries believed that there should be an increase in the resources of the Secretariat commensurate with the broadening of the responsibilities of the WTO compared with those of the GATT; the considerably increased membership (once ratification and accession procedures were completed) meant that requests for technical assistance were increasing and would increase even more in the future. (2) Developing countries expressed their appreciation for the technical cooperation and training activities of the Secretariat. (3) Developing countries unanimously supported the Secretariat proposal for a special action plan for African countries and the least-developed countries. (4) Developing countries placed importance on technical assistance and cooperation with respect to notification requirements and changes in legislation required to fulfil obligations arising from the Marrakesh Agreements. Document WT/COM.TD/W/1 showed the complexity of the notification requirements, and what needed to be done; it was clear that a special programme of assistance would be needed from the Secretariat. (5) They requested the Secretariat to organize a workshop devoted to questions relating to notification obligations and changes needed in domestic rules and legislation to comply with the Marrakesh Agreements. This workshop could also be open to developed countries. (6) Developing countries wanted a detailed discussion on the technical cooperation activities of the Secretariat at the June meeting, and requested a special agenda item on the issue.","WTCOMTDM1.pdf","Argentina, Informal, Group, of, Developing, Countries, WTO, Secretariat, WTO, GATT, Secretariat, Secretariat, Secretariat, Secretariat, Secretariat"
