"","X","paranum","paratext","doc","ents"
"501",501,"85","85.    The representative of India recognized that e-commerce had become a major driver of international economic activity and international trade. In India, e-commerce was transforming the way business was being conducted, and represented one of the fastest growing segments of the economy. However, growth of e-commerce activities had given birth to new challenges, both for domestic and cross-border trade. These included issues relating to consumer protection and the sale of counterfeit goods and services, the safety of online payments, e-authentication procedures and digital signatures, taxation, as well as other challenges relating to shortages of skilled manpower, human resource development and logistics. As in most developing countries, including India, rules on these issues were still evolving, his delegation believed that it was premature to discuss rule-making in the area of e-commerce. Instead, discussions on e-commerce should be limited to the non-negotiating mandate of the Work Programme, and particularly focus, in the CTD, on addressing the development needs of developing countries. For example, as the growth of digital trade and e-commerce was dependent on technology, the Committee should examine how                                          WT/COMTD/M/103                                                 - 16 - to ensure an adequate transfer of technology. Similarly, Members needed to consider ways of reducing the digital divide, promoting increased internet access, and enhancing the mobilization of financial resources to develop the digital infrastructure in developing countries and LDCs. He also highlighted the importance of cooperation amongst Members, and sharing of experiences in areas such as consumer protection, safety of online payments, taxation, human resources development and logistics. Cooperation in the area of cyber security, electronic signatures and electronic documents was also important. In closing, he stressed the need for greater efforts by national governments and the international community to enhance the readiness of countries to engage in, and benefit from, digital trade. He also urged proponents to narrow their proposals and come up with specific issues that could be discussed in the CTD.","WTCOMTDM103.pdf","India, India, India, Work, Programme, CTD, Committee, Members, Members, CTD"
"502",502,"86","86.    The representative of Ecuador supported the intervention by, amongst others, South Africa, Uganda, Zimbabwe and Venezuela. While also supporting any initiatives within the Work Programme on E-commerce, she called upon Members to bear in mind that many of the past and present proposals did not have great meaning in the context where the majority of WTO Members did not enjoy some fundamental services, including a minimum access to the Internet and electricity. She was of the view that the Work Programme represented a framework for discussions that would help developing Members deepen the understandings of their needs so as to ensure a fair integration into the global economy, including through digital trade. As developing countries had different experiences and expectations for MC11, it would be important to have a very clear framework for negotiations on e-commerce ahead of MC11. In that respect, proponents should reformulate their proposals and ensure that they aligned with the Work Programme on e-commerce.","WTCOMTDM103.pdf","Ecuador, South, Africa, Uganda, Zimbabwe, Venezuela, Work, Programme, Members, WTO, Members, Work, Programme, Members, Work, Programme"
"503",503,"87","87.    The representative of Singapore said that she wished to briefly share information about the Lunch Panel hosted by ASEAN on 27 April 2017, as part of the UNCTAD E-commerce Week. She noted that the event touched upon the development aspects of e-commerce and helped find synergies between the discussions taking place in UNCTAD and WTO on the development aspects of e-commerce. The event featured the theme “Can E-commerce Trade Rules help MSMEs in Developing Countries?”. The panellists included the WTO Secretariat, Singapore, Cambodia, the Global Express Association (GEA), the International Trade Centre (ITC) and the Thailand Vice Minister for Commerce, His Excellency Mr Winichai Chaemchaeng, who provided opening remarks. Panellists shared view on how e-commerce had enabled MSMEs to better integrate into the global economy, including by relying on existing WTO rules that applied to e-commerce as well as the common types of e-commerce rules found in RTAs. It was noted that interest in e-commerce cut across development levels in ASEAN, and this was exemplified by the commitment to some e-commerce disciplines taken by ASEAN countries in the ASEAN-Australia-New Zealand Free Trade Agreement (FTA). She informed the Committee that the outcome document, which provided a summary of the Lunch Panel reflections and key takeaways from this Panel was circulated in the CTD, the CTG, the TRIPs Council and the General Council. ASEAN Members looked forward to engaging constructively with other interested WTO Members on how to take forward the work on e-commerce.","WTCOMTDM103.pdf","Singapore, Lunch, Panel, ASEAN, UNCTAD, UNCTAD, WTO, WTO, Secretariat, Singapore, Cambodia, Global, Express, Association, International, Trade, Centre, ITC, Thailand, Winichai, Chaemchaeng, WTO, ASEAN, ASEAN, FTA, Committee, Lunch, Panel, CTD, CTG, TRIPs, Council, General, Council, ASEAN, Members, WTO, Members"
"504",504,"88","88.    The representative of Nigeria highlighted three points. First, the Committee had the responsibility to continue discussing e-commerce on the basis of the existing mandate and guidelines of the Work Programme on e-commerce as well as on the basis of proposals submitted by Members. Second, the proposal that Nigeria had co-sponsored was consistent with the focus of the CTD's discussions on the development implications of electronic commerce. Third, the Committee should consider a number of issues of interest to developing countries - some of which were highlighted by previous speakers - such as bridging the digital divide, access to infrastructure, technology, capacity building, along with other issues relating to the participation of developing countries in e-commerce. This would help Members have a better understanding on the e-commerce issues in order to take the e-commerce work forward. In closing, he believed that as in every Ministerial meeting there would be a decision on e-commerce at MC11. However, such decision could be similar to or go beyond the previous ones, and its scope would ultimately be decided upon on the basis of the Membership's consensus. As a result, the issue as to whether it was premature, or not, to make rules on e-commerce would be decided at an appropriate time.","WTCOMTDM103.pdf","Nigeria, Committee, Work, Programme, Members, Nigeria, CTD, Committee, Members"
"505",505,"89","89.  The representative of Cuba said that as noted by her delegation in other bodies of the WTO, Cuba was of the view that the work on e-commerce should be undertaken only on the basis of the 1998 Work Programme. She expressed full support for the interventions by South Africa, Uganda, Venezuela, India and Ecuador.                                         WT/COMTD/M/103                                                - 17 -","WTCOMTDM103.pdf","Cuba, WTO, Cuba, South, Africa, Uganda, Venezuela, India, Ecuador"
"506",506,"9","9.     It was so agreed.","WTCOMTDM103.pdf",""
"507",507,"90","90.    The representative of Cameroon expressed surprise that the agenda item under consideration referred to the Work Programme on E-commerce whereas the first delegation which intervened made reference to a market access issue. He recalled that the discussions in the CTD should focus on the development aspects of e-commerce so as to ensure that developing country Members would be able to derive full benefits from their engagement on e-commerce. The negotiating aspects of e-commerce should be dealt with in other WTO bodies, while the development aspects should be addressed in the CTD - as the latter remained - above all, the body where the pertinence and effectiveness of Members' work was judged in terms of its development impact on developing countries. In his view, the main problem that should be addressed in the CTD was the digital divide among developed and developing countries. He argued that at a seminar organized by the Friends of E-commerce for Development, the Director-General had acknowledged that half of the world's population experienced an important digital gap, which could further increase. This explained why the discussion in the CTD should aim to reduce the digital gap, rather than enlarging it to a digital gulf. Overall, he proposed that the Committee consider two issues: first, what policies could help developing countries reduce the digital divide and benefit fairly from e-commerce?; second, would traditional means such as development aid help address the digital divide?. Referring to the Trade Facilitation Agreement (TFA), he said that there were no binding financial commitments from developed Members to finance the acquisition of capacity for countries that lacked such capacity. It followed that a WTO Agreement on e- commerce should be able to help Members genuinely participate in e-commerce, including by allowing developing countries to develop the requisite capacity to effectively engage on digital trade. The CTD had a key role in that respect. In closing, he hoped that the different proponents of submissions on e-commerce would take into account the interventions by South Africa, Swaziland, Cuba, Venezuela, Ecuador, and India so as to reflect development concerns in their proposals.","WTCOMTDM103.pdf","Cameroon, Work, Programme, CTD, Members, WTO, CTD, Members, CTD, Director-General, CTD, Committee, TFA, Members, Members, CTD, South, Africa, Swaziland, Cuba, Venezuela, Ecuador, India"
"508",508,"91","91.   The Committee took note of all the statements made.","WTCOMTDM103.pdf","Committee"
"509",509,"92","92.   The Chairman said that he wished to provide Members with a brief update on the Preferential Trade Arrangements (PTAs) that were to be considered in Dedicated Sessions of the CTD. He noted that at a previous meeting of the CTD Regular session, Members had been informed that the US's trade preferences for Nepal were notified under the Transparency Mechanism for PTAs. The Secretariat had now received the US tariff schedule relating to these preferences and was in the process of drafting the factual presentation. Turning to the other PTAs to be considered in Dedicated Sessions, he said that the situation remained the same as was reported to Members at the March 2017 CTD meeting. In particular, there were five PTAs that had been notified - since the establishment of the Transparency Mechanism - for which the Secretariat had still not received the full set of data required for the preparation of factual presentations. These included the PTAs that were being implemented by China, India, the Russian Federation, Thailand and Chinese Taipei. He urged the notifying Members to provide the requisite data and information as soon as possible. In closing, he said that he also wished to mention that some Members had still not submitted data on imports by duty scheme, as provided in the Transparency Mechanism for PTAs. These included Iceland, Japan, Kazakhstan, Kyrgyz Republic, Morocco, New Zealand, Switzerland, Tajikistan and Turkey.","WTCOMTDM103.pdf","Chairman, Members, CTD, Members, US, Nepal, Secretariat, US, Members, Secretariat, China, India, Russian, Federation, Thailand, Taipei, Members, Members, Iceland, Japan, Kazakhstan, Kyrgyz, Republic, Morocco, New, Zealand, Switzerland, Tajikistan, Turkey"
"510",510,"93","93.   The Committee took note of the Chairman's update.","WTCOMTDM103.pdf","Committee, Chairman"
