"docid","date","year","meetingno","numdate"
"WTCOMTDM1",1995-04-04,1995,1,9224
"WTCOMTDM10",1996-09-23,1996,10,9762
"WTCOMTDM100",2016-11-24,2016,100,17129
"WTCOMTDM101",2017-01-27,2017,101,17193
"WTCOMTDM102",2017-05-17,2017,102,17303
"WTCOMTDM103",2017-06-21,2017,103,17338
"WTCOMTDM104",2017-11-15,2017,104,17485
"WTCOMTDM105",2018-04-24,2018,105,17645
"WTCOMTDM106",2018-07-05,2018,106,17717
"WTCOMTDM107",2018-11-21,2018,107,17856
"WTCOMTDM108",2019-04-05,2019,108,17991
"WTCOMTDM109",2019-06-28,2019,109,18075
"WTCOMTDM11",1996-10-04,1996,11,9773
"WTCOMTDM12",1996-10-15,1996,12,9784
"WTCOMTDM13",1996-11-25,1996,13,9825
"WTCOMTDM14",1997-02-17,1997,14,9909
"WTCOMTDM15",1997-03-21,1997,15,9941
"WTCOMTDM16",1997-05-20,1997,16,10001
"WTCOMTDM17",1997-09-26,1997,17,10130
"WTCOMTDM18",1997-11-17,1997,18,10182
"WTCOMTDM19",1998-03-06,1998,19,10291
"WTCOMTDM2",1995-07-05,1995,2,9316
"WTCOMTDM20",1998-04-23,1998,20,10339
"WTCOMTDM21",1998-06-19,1998,21,10396
"WTCOMTDM22",1998-11-02,1998,22,10532
"WTCOMTDM23",1998-12-07,1998,23,10567
"WTCOMTDM24",1999-03-02,1999,24,10652
"WTCOMTDM25",1999-06-04,1999,25,10746
"WTCOMTDM26",1999-07-07,1999,26,10779
"WTCOMTDM27",1999-10-18,1999,27,10882
"WTCOMTDM28",2000-03-10,2000,28,11026
"WTCOMTDM29",2000-06-07,2000,29,11115
"WTCOMTDM29",2000-06-28,2000,29,11136
"WTCOMTDM3",1995-09-14,1995,3,9387
"WTCOMTDM30",2000-09-22,2000,30,11222
"WTCOMTDM31",2000-10-27,2000,31,11257
"WTCOMTDM32",2001-02-16,2001,32,11369
"WTCOMTDM33",2001-04-09,2001,33,11421
"WTCOMTDM34",2001-05-22,2001,34,11464
"WTCOMTDM35",2001-10-08,2001,35,11603
"WTCOMTDM36",2001-11-26,2001,36,11652
"WTCOMTDM37",2002-01-22,2002,37,11709
"WTCOMTDM38",2002-02-14,2002,38,11732
"WTCOMTDM39",2002-03-06,2002,39,11752
"WTCOMTDM4",1995-11-17,1995,4,9451
"WTCOMTDM40",2002-04-25,2002,40,11802
"WTCOMTDM41",2002-07-01,2002,41,11869
"WTCOMTDM42",2002-10-08,2002,42,11968
"WTCOMTDM43",2002-11-11,2002,43,12002
"WTCOMTDM44",2003-03-07,2003,44,12118
"WTCOMTDM45",2003-05-22,2003,45,12194
"WTCOMTDM46",2003-10-16,2003,46,12341
"WTCOMTDM47",2003-11-27,2003,47,12383
"WTCOMTDM48",2004-02-18,2004,48,12466
"WTCOMTDM49",2004-05-11,2004,49,12549
"WTCOMTDM5",1996-02-16,1996,5,9542
